Debut_pluie,Fin_pluie,CumulRadar,IRadar,CumulBassin,IBassin,Debut_montee,Fin_montee,Qdeb,Qfin,Gradient,Tps repRadar,Tps repBassin,Observation,Duree
,,(mm),(mm/h),(mm),(mm/h),,,(cm),(cm),cm/h,,,,Heures
08/03/1999 04:00,08/03/1999 19:00,9.9,0.7,,,08/03/1999 09:00,08/03/1999 23:00,19.2,27.5,0.593,11.9,,,15
02/03/1999 19:00,02/03/1999 23:00,6.8,1.7,,,02/03/1999 23:00,03/03/1999 08:00,16.4,24.8,0.933,11.4,,,4
20/04/1999 09:00,20/04/1999 19:00,15,1.5,,,20/04/1999 11:00,20/04/1999 20:00,5.88,17.5,1.29,5.7,,,10
23/04/1999 09:00,23/04/1999 20:00,15.7,1.4,,,23/04/1999 16:00,24/04/1999 04:00,10.9,29.3,1.53,13.2,,,11
10/12/1999 19:00,12/12/1999 14:00,66.7,1.6,,,11/12/1999 01:00,12/12/1999 16:00,9.22,93.3,2.16,20.8,,,43
17/12/1999 09:00,19/12/1999 05:00,40.1,0.9,,,17/12/1999 19:00,19/12/1999 09:00,28.6,64.2,0.937,25.1,,,44
24/12/1999 05:00,25/12/1999 00:00,43.2,2.3,,,24/12/1999 10:00,25/12/1999 08:00,22.2,84.9,2.85,17.7,,,19
26/12/1999 00:00,26/12/1999 15:00,17.8,1.2,,,26/12/1999 05:00,26/12/1999 16:00,59.2,80.7,1.95,10.7,,,15
27/12/1999 13:00,28/12/1999 05:00,26.9,1.7,,,27/12/1999 16:00,28/12/1999 07:00,68,135,4.47,11.9,,,16
04/01/2000 00:00,04/01/2000 10:00,10.9,1.1,,,04/01/2000 08:00,05/01/2000 01:00,28.6,38.6,0.588,19.9,,,10
08/02/2000 04:00,08/02/2000 14:00,13.2,1.3,,,08/02/2000 09:00,08/02/2000 23:00,10.4,27.6,1.23,14.3,,,10
10/02/2000 07:00,10/02/2000 16:00,10,1.1,,,10/02/2000 11:00,11/02/2000 00:00,15.5,26.3,0.831,12.3,,,9
12/02/2000 20:00,13/02/2000 07:00,8.5,0.8,,,13/02/2000 00:00,13/02/2000 14:00,16,24.2,0.586,13.2,,,11
15/02/2000 18:00,16/02/2000 09:00,7.9,0.5,,,15/02/2000 23:00,16/02/2000 12:00,17,23.3,0.485,12.1,,,15
